X,CH1,
Second,Volt,
-1.0624000e-01,1.60000e-03,
-1.0619999e-01,8.00000e-04,
-1.0615999e-01,8.00000e-04,
-1.0612000e-01,8.00000e-04,
-1.0607999e-01,1.60000e-03,
-1.0603999e-01,8.00000e-04,
-1.0600000e-01,8.00000e-04,
-1.0595999e-01,8.00000e-04,
-1.0591999e-01,1.60000e-03,
-1.0588000e-01,8.00000e-04,
-1.0583999e-01,8.00000e-04,
-1.0580000e-01,8.00000e-04,
-1.0576000e-01,8.00000e-04,
-1.0571999e-01,8.00000e-04,
-1.0568000e-01,1.60000e-03,
-1.0564000e-01,1.60000e-03,
-1.0559999e-01,1.60000e-03,
-1.0556000e-01,8.00000e-04,
-1.0551999e-01,0.00000e+00,
-1.0547999e-01,0.00000e+00,
-1.0544000e-01,8.00000e-04,
-1.0539999e-01,8.00000e-04,
-1.0535999e-01,8.00000e-04,
-1.0532000e-01,0.00000e+00,
-1.0527999e-01,0.00000e+00,
-1.0523999e-01,-8.00000e-04,
-1.0520000e-01,0.00000e+00,
-1.0515999e-01,0.00000e+00,
-1.0512000e-01,-8.00000e-04,
-1.0508000e-01,0.00000e+00,
-1.0503999e-01,0.00000e+00,
-1.0500000e-01,0.00000e+00,
-1.0495999e-01,0.00000e+00,
-1.0491999e-01,0.00000e+00,
-1.0488000e-01,0.00000e+00,
-1.0483999e-01,0.00000e+00,
-1.0479999e-01,0.00000e+00,
-1.0476000e-01,8.00000e-04,
-1.0471999e-01,8.00000e-04,
-1.0467999e-01,8.00000e-04,
-1.0464000e-01,8.00000e-04,
-1.0459999e-01,1.60000e-03,
-1.0456000e-01,1.60000e-03,
-1.0452000e-01,1.60000e-03,
-1.0447999e-01,1.60000e-03,
-1.0444000e-01,8.00000e-04,
-1.0440000e-01,8.00000e-04,
-1.0435999e-01,8.00000e-04,
-1.0432000e-01,8.00000e-04,
-1.0427999e-01,8.00000e-04,
-1.0423999e-01,8.00000e-04,
-1.0420000e-01,8.00000e-04,
-1.0415999e-01,8.00000e-04,
-1.0411999e-01,1.60000e-03,
-1.0408000e-01,1.60000e-03,
-1.0403999e-01,8.00000e-04,
-1.0399999e-01,8.00000e-04,
-1.0396000e-01,0.00000e+00,
-1.0391999e-01,8.00000e-04,
-1.0388000e-01,8.00000e-04,
-1.0384000e-01,-8.00000e-04,
-1.0379999e-01,0.00000e+00,
-1.0376000e-01,0.00000e+00,
-1.0371999e-01,8.00000e-04,
-1.0367999e-01,0.00000e+00,
-1.0364000e-01,-8.00000e-04,
-1.0359999e-01,0.00000e+00,
-1.0355999e-01,-8.00000e-04,
-1.0352000e-01,-8.00000e-04,
-1.0347999e-01,0.00000e+00,
-1.0343999e-01,0.00000e+00,
-1.0340000e-01,0.00000e+00,
-1.0335999e-01,0.00000e+00,
-1.0332000e-01,0.00000e+00,
-1.0328000e-01,8.00000e-04,
-1.0323999e-01,8.00000e-04,
-1.0320000e-01,8.00000e-04,
-1.0316000e-01,0.00000e+00,
-1.0311999e-01,0.00000e+00,
-1.0308000e-01,0.00000e+00,
-1.0303999e-01,0.00000e+00,
-1.0299999e-01,0.00000e+00,
-1.0296000e-01,-8.00000e-04,
-1.0291999e-01,0.00000e+00,
-1.0287999e-01,-8.00000e-04,
-1.0284000e-01,0.00000e+00,
-1.0279999e-01,0.00000e+00,
-1.0275999e-01,-8.00000e-04,
-1.0272000e-01,-8.00000e-04,
-1.0267999e-01,0.00000e+00,
-1.0264000e-01,0.00000e+00,
-1.0260000e-01,0.00000e+00,
-1.0255999e-01,-8.00000e-04,
-1.0252000e-01,0.00000e+00,
-1.0248000e-01,0.00000e+00,
-1.0243999e-01,8.00000e-04,
-1.0240000e-01,1.60000e-03,
-1.0235999e-01,1.60000e-03,
-1.0231999e-01,1.60000e-03,
-1.0228000e-01,1.60000e-03,
-1.0223999e-01,1.60000e-03,
-1.0219999e-01,8.00000e-04,
-1.0216000e-01,8.00000e-04,
-1.0211999e-01,8.00000e-04,
-1.0207999e-01,8.00000e-04,
-1.0204000e-01,0.00000e+00,
-1.0199999e-01,0.00000e+00,
-1.0196000e-01,8.00000e-04,
-1.0192000e-01,0.00000e+00,
-1.0187999e-01,8.00000e-04,
-1.0184000e-01,1.60000e-03,
-1.0179999e-01,8.00000e-04,
-1.0175999e-01,8.00000e-04,
-1.0172000e-01,0.00000e+00,
-1.0167999e-01,0.00000e+00,
-1.0163999e-01,0.00000e+00,
-1.0160000e-01,0.00000e+00,
-1.0155999e-01,0.00000e+00,
-1.0151999e-01,-8.00000e-04,
-1.0148000e-01,-8.00000e-04,
-1.0143999e-01,0.00000e+00,
-1.0140000e-01,8.00000e-04,
-1.0136000e-01,0.00000e+00,
-1.0131999e-01,0.00000e+00,
-1.0128000e-01,-8.00000e-04,
-1.0124000e-01,-8.00000e-04,
-1.0119999e-01,8.00000e-04,
-1.0116000e-01,0.00000e+00,
-1.0111999e-01,0.00000e+00,
-1.0107999e-01,8.00000e-04,
-1.0104000e-01,8.00000e-04,
-1.0099999e-01,8.00000e-04,
-1.0095999e-01,8.00000e-04,
-1.0092000e-01,1.60000e-03,
-1.0087999e-01,1.60000e-03,
-1.0083999e-01,0.00000e+00,
-1.0080000e-01,8.00000e-04,
-1.0075999e-01,1.60000e-03,
-1.0072000e-01,1.60000e-03,
-1.0068000e-01,8.00000e-04,
-1.0063999e-01,0.00000e+00,
-1.0060000e-01,0.00000e+00,
-1.0055999e-01,-8.00000e-04,
-1.0051999e-01,0.00000e+00,
-1.0048000e-01,-8.00000e-04,
-1.0043999e-01,8.00000e-04,
-1.0039999e-01,8.00000e-04,
-1.0036000e-01,8.00000e-04,
-1.0031999e-01,1.60000e-03,
-1.0027999e-01,8.00000e-04,
-1.0024000e-01,0.00000e+00,
-1.0019999e-01,0.00000e+00,
-1.0016000e-01,8.00000e-04,
-1.0012000e-01,8.00000e-04,
