X,CH1,CH2,
Second,Volt,Volt,
-3.0899996e-02,2.40000e-03,-8.00000e-02,
-3.0879999e-02,2.40000e-03,-8.00000e-02,
-3.0860001e-02,2.40000e-03,-8.00000e-02,
-3.0839996e-02,2.40000e-03,-8.00000e-02,
-3.0819999e-02,3.20000e-03,-8.00000e-02,
-3.0800002e-02,1.60000e-03,-8.00000e-02,
-3.0779997e-02,1.60000e-03,-8.00000e-02,
-3.0760000e-02,1.60000e-03,-8.00000e-02,
-3.0739995e-02,1.60000e-03,-8.00000e-02,
-3.0719997e-02,1.60000e-03,-8.00000e-02,
-3.0700000e-02,1.60000e-03,-8.00000e-02,
-3.0679995e-02,1.60000e-03,-8.00000e-02,
-3.0659998e-02,1.60000e-03,-8.00000e-02,
-3.0640000e-02,1.60000e-03,-8.00000e-02,
-3.0619996e-02,1.60000e-03,-8.00000e-02,
-3.0599998e-02,1.60000e-03,-8.00000e-02,
-3.0580001e-02,1.60000e-03,-8.00000e-02,
-3.0559996e-02,1.60000e-03,-8.00000e-02,
-3.0539999e-02,1.60000e-03,-8.00000e-02,
-3.0520001e-02,1.60000e-03,-8.00000e-02,
-3.0499997e-02,1.60000e-03,-8.00000e-02,
-3.0479999e-02,1.60000e-03,-8.00000e-02,
-3.0459994e-02,1.60000e-03,-8.00000e-02,
-3.0439997e-02,8.00000e-04,-8.00000e-02,
-3.0420000e-02,8.00000e-04,-8.00000e-02,
-3.0399995e-02,8.00000e-04,-8.00000e-02,
-3.0379998e-02,8.00000e-04,-8.00000e-02,
-3.0360000e-02,-8.00000e-04,-8.00000e-02,
-3.0339995e-02,-8.00000e-04,-8.00000e-02,
-3.0319998e-02,-8.00000e-04,-8.00000e-02,
-3.0300001e-02,-8.00000e-04,-8.00000e-02,
-3.0279996e-02,-1.60000e-03,-8.00000e-02,
-3.0259999e-02,-8.00000e-04,-8.00000e-02,
-3.0240001e-02,-8.00000e-04,-8.00000e-02,
-3.0219996e-02,-8.00000e-04,-8.00000e-02,
-3.0199999e-02,-8.00000e-04,-8.00000e-02,
-3.0180002e-02,0.00000e+00,-8.00000e-02,
-3.0159997e-02,0.00000e+00,-8.00000e-02,
-3.0139999e-02,8.00000e-04,-8.00000e-02,
-3.0119995e-02,0.00000e+00,-8.00000e-02,
-3.0099997e-02,8.00000e-04,-1.60000e-01,
-3.0080000e-02,0.00000e+00,-8.00000e-02,
-3.0059995e-02,8.00000e-04,-8.00000e-02,
-3.0039998e-02,8.00000e-04,0.00000e+00,
-3.0020000e-02,8.00000e-04,-8.00000e-02,
-2.9999996e-02,8.00000e-04,-8.00000e-02,
-2.9979998e-02,8.00000e-04,0.00000e+00,
-2.9960001e-02,0.00000e+00,-8.00000e-02,
-2.9939996e-02,0.00000e+00,-8.00000e-02,
-2.9919999e-02,0.00000e+00,-8.00000e-02,
-2.9900001e-02,0.00000e+00,-8.00000e-02,
-2.9879997e-02,0.00000e+00,-8.00000e-02,
-2.9859999e-02,-8.00000e-04,-8.00000e-02,
-2.9840002e-02,-8.00000e-04,-8.00000e-02,
-2.9819997e-02,0.00000e+00,-8.00000e-02,
-2.9800000e-02,0.00000e+00,-8.00000e-02,
-2.9779995e-02,8.00000e-04,-8.00000e-02,
-2.9759998e-02,0.00000e+00,-8.00000e-02,
-2.9740000e-02,0.00000e+00,-8.00000e-02,
-2.9719995e-02,0.00000e+00,-8.00000e-02,
-2.9699998e-02,8.00000e-04,-8.00000e-02,
-2.9680001e-02,0.00000e+00,-8.00000e-02,
-2.9659996e-02,0.00000e+00,-8.00000e-02,
-2.9639998e-02,-8.00000e-04,-8.00000e-02,
-2.9620001e-02,-8.00000e-04,-8.00000e-02,
-2.9599996e-02,-8.00000e-04,-8.00000e-02,
-2.9579999e-02,-8.00000e-04,-8.00000e-02,
-2.9560002e-02,-1.60000e-03,-8.00000e-02,
-2.9539997e-02,-1.60000e-03,-8.00000e-02,
-2.9519999e-02,-1.60000e-03,-8.00000e-02,
-2.9499995e-02,-1.60000e-03,-8.00000e-02,
-2.9479997e-02,-1.60000e-03,-8.00000e-02,
-2.9460000e-02,-8.00000e-04,-8.00000e-02,
-2.9439995e-02,-8.00000e-04,0.00000e+00,
-2.9419998e-02,-8.00000e-04,-8.00000e-02,
-2.9400000e-02,-8.00000e-04,-8.00000e-02,
-2.9379996e-02,-1.60000e-03,-8.00000e-02,
-2.9359998e-02,-1.60000e-03,-8.00000e-02,
-2.9340001e-02,-1.60000e-03,-8.00000e-02,
-2.9319996e-02,-1.60000e-03,-8.00000e-02,
-2.9299999e-02,-1.60000e-03,-8.00000e-02,
-2.9280001e-02,-3.20000e-03,-8.00000e-02,
-2.9259996e-02,-1.60000e-03,-8.00000e-02,
-2.9239999e-02,-3.20000e-03,-8.00000e-02,
-2.9220002e-02,-3.20000e-03,-8.00000e-02,
-2.9199997e-02,-3.20000e-03,-8.00000e-02,
-2.9180000e-02,-1.60000e-03,-8.00000e-02,
-2.9159995e-02,-8.00000e-04,-8.00000e-02,
-2.9139997e-02,-1.60000e-03,-8.00000e-02,
-2.9120000e-02,-1.60000e-03,-8.00000e-02,
-2.9099995e-02,-1.60000e-03,-8.00000e-02,
-2.9079998e-02,-1.60000e-03,-8.00000e-02,
-2.9060001e-02,-1.60000e-03,-8.00000e-02,
-2.9039996e-02,-8.00000e-04,-8.00000e-02,
-2.9019998e-02,-8.00000e-04,-8.00000e-02,
-2.9000001e-02,0.00000e+00,-8.00000e-02,
-2.8979996e-02,-8.00000e-04,-8.00000e-02,
-2.8959999e-02,-8.00000e-04,-8.00000e-02,
-2.8940002e-02,-8.00000e-04,-8.00000e-02,
-2.8919997e-02,0.00000e+00,-8.00000e-02,
-2.8899999e-02,-8.00000e-04,-8.00000e-02,
-2.8879995e-02,0.00000e+00,-8.00000e-02,
-2.8859997e-02,0.00000e+00,-8.00000e-02,
-2.8840000e-02,0.00000e+00,-8.00000e-02,
-2.8819995e-02,0.00000e+00,-8.00000e-02,
-2.8799998e-02,-1.60000e-03,-8.00000e-02,
-2.8780000e-02,-1.60000e-03,-8.00000e-02,
-2.8759995e-02,-1.60000e-03,-8.00000e-02,
-2.8739998e-02,-1.60000e-03,-8.00000e-02,
-2.8720001e-02,-8.00000e-04,-8.00000e-02,
-2.8699996e-02,0.00000e+00,-8.00000e-02,
-2.8679999e-02,0.00000e+00,-8.00000e-02,
-2.8660001e-02,8.00000e-04,-8.00000e-02,
-2.8639996e-02,0.00000e+00,-8.00000e-02,
-2.8619999e-02,8.00000e-04,-8.00000e-02,
-2.8600002e-02,8.00000e-04,-8.00000e-02,
-2.8579997e-02,0.00000e+00,-8.00000e-02,
-2.8560000e-02,8.00000e-04,-8.00000e-02,
-2.8539995e-02,1.60000e-03,0.00000e+00,
-2.8519997e-02,1.60000e-03,-8.00000e-02,
-2.8500000e-02,1.60000e-03,-8.00000e-02,
-2.8479995e-02,1.60000e-03,-8.00000e-02,
-2.8459998e-02,1.60000e-03,-8.00000e-02,
-2.8440000e-02,8.00000e-04,0.00000e+00,
-2.8419996e-02,8.00000e-04,-8.00000e-02,
-2.8399998e-02,1.60000e-03,-8.00000e-02,
-2.8380001e-02,1.60000e-03,-8.00000e-02,
-2.8359996e-02,1.60000e-03,-8.00000e-02,
-2.8339999e-02,1.60000e-03,-8.00000e-02,
-2.8320001e-02,2.40000e-03,-8.00000e-02,
-2.8299997e-02,1.60000e-03,-8.00000e-02,
-2.8279999e-02,1.60000e-03,-8.00000e-02,
-2.8259994e-02,8.00000e-04,-8.00000e-02,
-2.8239997e-02,1.60000e-03,-8.00000e-02,
-2.8220000e-02,1.60000e-03,-8.00000e-02,
-2.8199995e-02,1.60000e-03,-8.00000e-02,
-2.8179998e-02,2.40000e-03,-8.00000e-02,
